index,label
0,tile-glue_strip
1,grid-good
2,transistor-good
3,tile-gray_stroke
4,tile-good
5,pill-good
6,capsule-scratch
7,hazelnut-cut
8,leather-good
9,leather-glue
10,bottle-broken_large
11,wood-good
12,zipper-rough
13,screw-thread_top
14,tile-glue_strip
15,bottle-contamination
16,grid-bent
17,carpet-cut
18,carpet-good
19,pill-color
20,tile-rough
21,zipper-good
22,bottle-broken_large
23,screw-scratch_neck
24,pill-scratch
25,screw-good
26,pill-faulty_imprint
27,screw-thread_top
28,leather-good
29,wood-liquid
30,screw-good
31,cable-good
32,screw-thread_side
33,zipper-fabric_interior
34,zipper-good
35,zipper-fabric_border
36,leather-good
37,cable-good
38,leather-cut
39,metal_nut-flip
40,metal_nut-good
41,cable-missing_cable
42,screw-thread_top
43,capsule-faulty_imprint
44,metal_nut-flip
45,tile-good
46,toothbrush-good
47,capsule-good
48,zipper-good
49,screw-good
50,cable-good
51,transistor-good
52,hazelnut-crack
53,hazelnut-print
54,zipper-good
55,metal_nut-scratch
56,carpet-cut
57,carpet-good
58,leather-fold
59,capsule-good
60,transistor-good
61,pill-faulty_imprint
62,capsule-squeeze
63,zipper-squeezed_teeth
64,capsule-crack
65,leather-color
66,transistor-good
67,capsule-crack
68,pill-pill_type
69,metal_nut-color
70,grid-bent
71,wood-good
72,hazelnut-cut
73,tile-good
74,leather-poke
75,zipper-good
76,cable-good
77,leather-good
78,cable-good
79,cable-good
80,pill-crack
81,wood-good
82,screw-scratch_head
83,wood-hole
84,transistor-good
85,bottle-broken_small
86,zipper-good
87,carpet-hole
88,leather-good
89,zipper-fabric_interior
90,leather-color
91,zipper-good
92,cable-good
93,metal_nut-bent
94,screw-good
95,tile-oil
96,transistor-good
97,transistor-good
98,metal_nut-good
99,metal_nut-good
100,cable-good
101,carpet-good
102,pill-good
103,capsule-scratch
104,wood-good
105,bottle-contamination
106,zipper-rough
107,pill-contamination
108,transistor-good
109,hazelnut-hole
110,leather-color
111,screw-scratch_neck
112,transistor-good
113,transistor-good
114,zipper-good
115,capsule-good
116,grid-good
117,pill-good
118,capsule-crack
119,leather-poke
120,screw-good
121,carpet-color
122,metal_nut-good
123,transistor-good
124,wood-hole
125,transistor-good
126,tile-crack
127,transistor-good
128,pill-scratch
129,screw-good
130,grid-good
131,metal_nut-scratch
132,pill-crack
133,metal_nut-bent
134,capsule-good
135,grid-bent
136,screw-scratch_head
137,bottle-contamination
138,pill-good
139,wood-liquid
140,transistor-good
141,hazelnut-good
142,cable-cut_inner_insulation
143,cable-good
144,zipper-good
145,hazelnut-print
146,carpet-metal_contamination
147,zipper-good
148,zipper-rough
149,wood-good
150,zipper-good
151,wood-scratch
152,transistor-good
153,pill-good
154,zipper-good
155,tile-good
156,toothbrush-good
157,tile-good
158,hazelnut-good
159,metal_nut-good
160,screw-scratch_head
161,screw-thread_top
162,screw-scratch_head
163,cable-missing_wire
164,carpet-good
165,leather-fold
166,pill-scratch
167,wood-color
168,zipper-fabric_interior
169,cable-missing_cable
170,carpet-good
171,carpet-good
172,screw-good
173,leather-glue
174,cable-good
175,pill-good
176,screw-good
177,zipper-split_teeth
178,capsule-good
179,zipper-good
180,leather-good
181,grid-glue
182,bottle-good
183,cable-missing_wire
184,pill-faulty_imprint
185,carpet-cut
186,tile-glue_strip
187,metal_nut-good
188,wood-scratch
189,transistor-cut_lead
190,pill-scratch
191,capsule-squeeze
192,zipper-good
193,hazelnut-cut
194,pill-good
195,screw-scratch_head
196,zipper-fabric_interior
197,zipper-rough
198,zipper-good
199,hazelnut-good
200,transistor-good
201,cable-poke_insulation
202,screw-scratch_neck
203,bottle-good
204,pill-good
205,leather-good
206,pill-color
207,pill-good
208,hazelnut-good
209,grid-bent
210,leather-poke
211,capsule-good
212,screw-good
213,wood-good
214,pill-combined
215,carpet-cut
216,capsule-squeeze
217,pill-contamination
218,transistor-good
219,bottle-broken_small
220,tile-oil
221,grid-good
222,tile-good
